t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
759,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Off,0,0,0,0,0,0,1,0,0,0,0,0
1517,Off,0,0,0,0,0,0,1,5,0,14,0,0
1770,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
2024,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
2277,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
2529,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
2783,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
3036,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
3289,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
3542,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
3795,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
4048,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
4250,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
4503,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
4756,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
5009,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
5263,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
5515,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
5767,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
6020,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
6273,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
6525,Reconnecting,0,0,0,0,0,0,1,15,0,197,0,0
6777,Reconnecting,0,0,0,0,0,0,2,15,0,197,0,0
7030,Reconnecting,0,0,0,0,0,0,2,15,0,197,0,0
7283,Reconnecting,0,0,0,0,0,0,2,15,0,197,0,0
